,address,city,floor,id,latitude,longitude,price,rooms,sq,year
0,Podgórze Zab³ocie Stanis³awa Klimeckiego,Kraków,2,23918,50.0492242,19.9703793,749000,3,74.05,2021
1,Praga-Po³udnie Grochowska,Warszawa,3,17828,52.2497745,21.1068857,240548,1,24.38,2021
2,Krowodrza Czarnowiejska,Kraków,2,22784,50.0669642,19.9200249,427000,2,37,1970
3,Grunwald,Poznañ,2,4315,52.404212,16.882542,1290000,5,166,1935
4,Ochota Gotowy budynek. Stan deweloperski. Ostatnie mieszkanie. ,Warszawa,1,11770,52.212225,20.9726299,996000,5,105,2020
5,Nowa Huta Czy¿yny ul. WoŸniców,Kraków,2,26071,50.0469432,19.99715344,414600,1,34.55,2022
6,Podgórze P³aszów Koszykarska,Kraków,0,22569,50.0498929,19.9906026,750000,4,81.4,2021
7,Mokotów Pory,Warszawa,10,13308,52.1840585,21.044302,2890000,6,280,2003
8,Ursynów Wy¿yny,Warszawa,3,11387,52.1402821,21.0563452,615000,4,63.4,1982
9,Bemowo,Warszawa,1,10904,52.2389738,20.9132881,429000,1,40,1999
10,Œródmieœcie,Warszawa,0,16251,52.2328098,21.019067,375000,1,29,1968
11,Praga-Po³udnie Goc³aw,Warszawa,2,13355,52.2286331,21.1065722,520000,3,67,1989
12,Bia³o³êka,Warszawa,0,15740,52.3196649,21.0211773,400000,3,57,2020
13,Nowe Miasto Malta Florentyny Luboiñskiej 5,Poznañ,0,6081,52.3916079,16.99406261,421427,3,60.29,2019
14,Wola,Warszawa,0,12035,52.2362379,20.9547815,591771.83,2,52.27,2021
15,Grunwald Œwierzawska,Poznañ,8,1085,52.4006632,16.91973259,547000,4,77.39,2020
16,Bia³o³êka,Warszawa,2,10118,52.3196649,21.0211773,489000,2,52,2005
17,Grunwald Górczyn ul. Ceglana,Poznañ,1,3518,52.3709933,16.8631459,618636,3,66.52,2020
18,Krowodrza Stanis³awa Konarskiego,Kraków,2,27706,50.0840413,19.97816047,280000,1,16.2,1930
19,Praga-Po³udnie,Warszawa,1,9813,52.2373961,21.0712578,393800,1,35.8,2021
20,Ursynów ul. Nowoursynowska,Warszawa,0,10053,52.16658235,21.04068566,869000,3,67.4,2008
